Emilio,Napoles,emilio.napoles@gmail.com
Octavio,Maya,octavio.maya@gmail.com
Rodrigo,Villa,rodrigo.villa@gmail.com
Rodrigo,Perez,rodrigo.perez@gmail.com
Ramiro,Ruiz,ramiro.ruiz@gmail.com
Jose,Aguirre,jose.aguirre@gmail.com
Martin,Correa,martin.correa@gmail.com
Alfredo,Maya,alfredo.maya@gmail.com
Oscar,Valenzuela,oscar.valenzuela@gmail.com
Alvaro,Celis,alvaro.celis@gmail.com
Emilio,Reyes,emilio.reyes@gmail.com
Ramiro,Valenzuela,ramiro.valenzuela@gmail.com
Juan,Alvarez,juan.alvarez@gmail.com
Francisco,Villa,francisco.villa@gmail.com
Oscar,Alatorre,oscar.alatorre@gmail.com
Gerardo,Tapia,gerardo.tapia@gmail.com
Francisco,Barajas,francisco.barajas@gmail.com
Jose,Villa,jose.villa@gmail.com
Adrian,Salgado,adrian.salgado@gmail.com
Emilio,Ramirez,emilio.ramirez@gmail.com
Juan,Ruiz,juan.ruiz@gmail.com
Juan,Reyes,juan.reyes@gmail.com
Oscar,Diaz,oscar.diaz@gmail.com
Federico,Flores,federico.flores@gmail.com
Jorge,Villa,jorge.villa@gmail.com
Javier,Sottil,javier.sottil@gmail.com
Federico,Celis,federico.celis@gmail.com
Alonso,Romo,alonso.romo@gmail.com
Eric,Gastelum,eric.gastelum@gmail.com
Alvaro,Sotomayor,alvaro.sotomayor@gmail.com
Jaime,Diaz,jaime.diaz@gmail.com
Felipe,Sotomayor,felipe.sotomayor@gmail.com
Julio,Napoles,julio.napoles@gmail.com
Jorge,Perez,jorge.perez@gmail.com
